event-id,visible,timestamp,long,lat,argos:best-level,argos:calcul-freq,argos:iq,argos:lat1,argos:lat2,argos:lc,argos:lon1,argos:lon2,argos:nb-mes,argos:nb-mes-120,manually-marked-outlier,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individualID,study-name
9018020255,True,27:48.0,-121.191,34.602,-131.0,649790.62,80.0,34.602,29.831,A,-121.191,-145.123,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020256,True,03:56.0,-121.176,35.214,-129.0,649783.87,0.0,35.214,32.648,B,-121.176,-134.537,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020257,True,25:10.0,-121.52,35.295,-129.0,649783.87,0.0,35.295,41.832,B,-121.52,-152.196,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020258,True,15:03.0,-121.619,35.598,-127.0,649783.87,0.0,35.598,40.809,B,-121.619,-146.84799999999998,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020259,True,43:21.0,-121.67200000000001,35.891999999999996,-134.0,649783.87,0.0,35.891999999999996,28.378,B,-121.67200000000001,-155.371,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020260,True,02:42.0,-121.921,36.308,-131.0,649783.87,0.0,36.308,40.222,B,-121.921,-140.42,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020261,True,18:25.0,-121.985,36.411,-131.0,649783.87,0.0,36.411,40.632,B,-121.985,-143.611,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020262,True,24:45.0,-122.035,36.468,-136.0,649791.0,0.0,36.468,30.846999999999998,A,-122.035,-149.20600000000002,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020263,True,32:54.0,-122.04899999999999,36.482,-134.0,649783.87,0.0,36.482,31.302,B,-122.04899999999999,-148.278,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020264,True,54:13.0,-122.126,36.659,-134.0,649783.87,0.0,36.659,32.507,B,-122.126,-106.57700000000001,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020265,True,20:17.0,-122.01299999999999,36.650999999999996,-128.0,649775.31,50.0,36.650999999999996,32.010999999999996,0,-122.01299999999999,-143.501,5.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020266,True,12:01.0,-122.04299999999999,36.681,-130.0,649775.62,50.0,36.681,33.42,1,-122.04299999999999,-137.102,6.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020267,True,41:11.0,-121.76799999999999,35.699,-136.0,649784.62,80.0,35.699,29.974,A,-121.76799999999999,-150.681,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020268,True,35:05.0,-121.24,35.33,-132.0,649784.62,0.0,35.33,30.541999999999998,B,-121.24,-97.795,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020269,True,35:06.0,-121.271,35.304,,,0.0,35.304,,A,-121.271,,,,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020270,True,22:33.0,-121.20299999999999,34.507,-130.0,649762.18,0.0,34.507,40.812,B,-121.20299999999999,-151.202,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020271,True,47:19.0,-121.07700000000001,34.367,-132.0,649773.31,60.0,34.367,26.493000000000002,0,-121.07700000000001,-157.98,5.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020272,True,36:52.0,-121.13799999999999,34.135,-134.0,649916.37,60.0,34.135,27.243000000000002,1,-121.13799999999999,-152.191,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020273,True,45:27.0,-120.994,33.834,-132.0,649916.37,0.0,33.834,27.421999999999997,B,-120.994,-152.657,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020274,True,07:07.0,-121.411,34.454,-134.0,649916.37,0.0,34.454,25.362,B,-121.411,-165.479,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020275,True,55:23.0,-121.376,34.699,-125.0,649916.37,0.0,34.699,38.722,B,-121.376,-101.61,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020276,True,08:56.0,-122.52600000000001,34.778,-130.0,649916.37,0.0,34.778,26.621,B,-122.52600000000001,-85.105,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020277,True,06:29.0,-124.54299999999999,35.532,-131.0,649916.37,0.0,35.532,32.607,B,-124.54299999999999,-134.415,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020278,True,34:04.0,-122.044,34.961999999999996,-128.0,649786.87,50.0,34.961999999999996,40.804,0,-122.044,-152.089,7.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020279,True,50:30.0,-122.083,35.028,-128.0,649761.12,58.0,35.028,28.421999999999997,0,-122.083,-154.845,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020280,True,10:39.0,-122.152,35.232,-125.0,649779.62,0.0,35.232,38.921,A,-122.152,-140.465,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020281,True,26:54.0,-122.06700000000001,35.275999999999996,-127.0,649767.81,58.0,35.275999999999996,30.906999999999996,1,-122.06700000000001,-144.153,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020282,True,38:00.0,-122.09100000000001,35.114000000000004,-132.0,649767.81,0.0,35.114000000000004,30.256,B,-122.09100000000001,-98.384,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020283,True,38:36.0,-121.884,35.158,-130.0,649775.18,50.0,35.158,41.585,0,-121.884,-154.602,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020284,True,07:24.0,-121.839,35.169000000000004,-132.0,649775.18,0.0,35.169000000000004,43.695,B,-121.839,-78.37100000000001,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020285,True,43:29.0,-121.86200000000001,35.164,-134.0,649771.5,80.0,35.164,27.935,A,-121.86200000000001,-155.937,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020286,True,53:00.0,-121.62,35.148,-136.0,649802.62,80.0,35.148,27.926,A,-121.62,-157.841,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020287,True,09:32.0,-121.79899999999999,35.1,-130.0,649771.5,0.0,35.1,39.39,B,-121.79899999999999,-142.93,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020288,True,30:23.0,-121.831,35.109,-130.0,649771.5,0.0,35.109,29.041999999999998,B,-121.831,-150.338,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020289,True,30:57.0,-121.822,35.123000000000005,-128.0,649771.5,0.0,35.123000000000005,30.180999999999997,B,-121.822,-146.409,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020290,True,40:43.0,-121.929,34.985,-128.0,649764.62,0.0,34.985,30.375,A,-121.929,-99.236,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020291,True,24:54.0,-121.74600000000001,34.738,-126.0,649771.5,0.0,34.738,29.344,B,-121.74600000000001,-145.41299999999998,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020292,True,27:27.0,-121.89399999999999,34.733000000000004,-138.0,649771.5,0.0,34.733000000000004,23.898000000000003,B,-121.89399999999999,-174.688,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020293,True,55:07.0,-121.789,34.711999999999996,-131.0,649791.5,0.0,34.711999999999996,38.597,A,-121.789,-102.15799999999999,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020294,True,09:46.0,-121.54799999999999,34.615,-128.0,649776.81,60.0,34.615,30.766,,-121.54799999999999,-139.313,5.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020295,True,18:18.0,-121.54700000000001,34.62,-136.0,649776.81,50.0,34.62,24.66,A,-121.54700000000001,-170.385,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020296,True,11:05.0,-121.234,34.57,-134.0,649776.81,0.0,34.57,43.093,B,-121.234,-80.045,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020297,True,20:42.0,-121.321,35.071,-130.0,649859.18,0.0,35.071,39.955,A,-121.321,-146.47799999999998,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020298,True,37:03.0,-121.14399999999999,34.803000000000004,-130.0,649882.87,60.0,34.803000000000004,28.576,1,-121.14399999999999,-149.561,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020299,True,54:32.0,-120.86399999999999,34.510999999999996,-134.0,649882.87,0.0,34.510999999999996,25.125,B,-120.86399999999999,-76.59100000000001,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020300,True,13:51.0,-121.514,34.128,-129.0,649783.37,50.0,34.128,30.73,2,-121.514,-137.575,7.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020301,True,41:20.0,-121.439,34.074,-130.0,649777.37,80.0,34.074,41.607,A,-121.439,-158.614,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020302,True,29:00.0,-121.49799999999999,34.085,-127.0,649773.5,60.0,34.085,40.705999999999996,0,-121.49799999999999,-153.156,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020303,True,47:51.0,-121.462,34.117,-131.0,649792.12,58.0,34.117,42.056000000000004,0,-121.462,-160.65200000000002,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020304,True,52:30.0,-121.488,34.028,-133.0,649790.62,80.0,34.028,26.004,A,-121.488,-159.274,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020305,True,19:27.0,-121.39399999999999,34.041,-128.0,649745.12,0.0,34.041,39.422,A,-121.39399999999999,-147.815,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020306,True,21:05.0,-121.59700000000001,34.202,-128.0,649762.18,60.0,34.202,39.859,0,-121.59700000000001,-149.643,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020307,True,42:31.0,-121.554,34.135999999999996,-137.0,649790.62,0.0,34.135999999999996,27.394000000000002,B,-121.554,-154.062,2.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020308,True,03:03.0,-121.34,33.975,-131.0,649880.87,0.0,33.975,25.363000000000003,A,-121.34,-162.892,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020309,True,45:05.0,-121.24799999999999,34.233000000000004,-130.0,649720.0,50.0,34.233000000000004,27.95,0,-121.24799999999999,-151.151,4.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020310,True,05:44.0,-121.508,34.183,-133.0,649780.18,50.0,34.183,38.358000000000004,0,-121.508,-141.472,5.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020311,True,26:55.0,-121.516,34.202,-127.0,649753.87,80.0,34.202,28.665,A,-121.516,-147.91,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
9018020312,True,18:54.0,-121.45700000000001,34.158,-129.0,649801.31,0.0,34.158,30.383000000000003,A,-121.45700000000001,-139.929,3.0,0.0,,argos-doppler-shift,Balaenoptera musculus,2005CA-ST15-01390,2005CA-Bmu-01390,Blue whales Eastern North Pacific 1993-2008 - Argos Data
