year;area km²;uf
2000;6,671.00;PARÁ
2000;6,369.00;MATO GROSSO
2000;1,065.00;MARANHÃO
2000;0.00;AMAPÁ
2000;612.00;AMAZONAS
2000;547.00;ACRE
1999;216.00;TOCANTINS
1999;220.00;RORAIMA
1999;2,358.00;RONDÔNIA
1999;5,111.00;PARÁ
1999;6,963.00;MATO GROSSO
1999;1,230.00;MARANHÃO
1999;0.00;AMAPÁ
1999;720.00;AMAZONAS
1999;441.00;ACRE
1998;576.00;TOCANTINS
1998;223.00;RORAIMA
1998;2,041.00;RONDÔNIA
1998;5,829.00;PARÁ
1998;6,466.00;MATO GROSSO
1998;1,012.00;MARANHÃO
1998;30.00;AMAPÁ
1998;670.00;AMAZONAS
1998;536.00;ACRE
1997;273.00;TOCANTINS
1997;184.00;RORAIMA
1997;1,986.00;RONDÔNIA
1997;4,139.00;PARÁ
1997;5,271.00;MATO GROSSO
1997;409.00;MARANHÃO
1997;18.00;AMAPÁ
1997;589.00;AMAZONAS
1997;358.00;ACRE
1996;320.00;TOCANTINS
1996;214.00;RORAIMA
1996;2,432.00;RONDÔNIA
1996;6,135.00;PARÁ
1996;6,543.00;MATO GROSSO
1996;1,061.00;MARANHÃO
1996;0.00;AMAPÁ
1996;1,023.00;AMAZONAS
1996;433.00;ACRE
1995;9.00;AMAPÁ
1995;220.00;RORAIMA
1995;4,730.00;RONDÔNIA
1995;7,845.00;PARÁ
1995;10,391.00;MATO GROSSO
1995;1,745.00;MARANHÃO
1995;797.00;TOCANTINS
1995;2,114.00;AMAZONAS
1995;1,208.00;ACRE
1994;0.00;AMAPÁ
1994;240.00;RORAIMA
1994;2,595.00;RONDÔNIA
1994;4,284.00;PARÁ
1994;6,220.00;MATO GROSSO
1994;372.00;MARANHÃO
1994;333.00;TOCANTINS
1994;370.00;AMAZONAS
1994;482.00;ACRE
1993;333.00;TOCANTINS
1993;240.00;RORAIMA
1993;2,595.00;RONDÔNIA
1993;4,284.00;PARÁ
1993;6,220.00;MATO GROSSO
1993;372.00;MARANHÃO
1993;0.00;AMAPÁ
1993;370.00;AMAZONAS
1993;482.00;ACRE
1992;409.00;TOCANTINS
1992;281.00;RORAIMA
1992;400.00;ACRE
1992;3,787.00;PARÁ
1992;4,674.00;MATO GROSSO
1992;1,135.00;MARANHÃO
1992;36.00;AMAPÁ
1992;799.00;AMAZONAS
1992;2,265.00;RONDÔNIA
1991;440.00;TOCANTINS
1991;420.00;RORAIMA
1991;380.00;ACRE
1991;3,780.00;PARÁ
1991;2,840.00;MATO GROSSO
1991;670.00;MARANHÃO
1991;410.00;AMAPÁ
1991;980.00;AMAZONAS
1991;1,110.00;RONDÔNIA
1990;580.00;TOCANTINS
1990;150.00;RORAIMA
1990;1,670.00;RONDÔNIA
1990;4,890.00;PARÁ
1990;4,020.00;MATO GROSSO
1990;1,100.00;MARANHÃO
1990;250.00;AMAPÁ
1990;520.00;AMAZONAS
1990;550.00;ACRE
1989;730.00;TOCANTINS
1989;630.00;RORAIMA
1989;1,430.00;RONDÔNIA
1989;5,750.00;PARÁ
1989;5,960.00;MATO GROSSO
1989;1,420.00;MARANHÃO
1989;130.00;AMAPÁ
1989;1,180.00;AMAZONAS
1989;540.00;ACRE
1988;1,650.00;TOCANTINS
1988;290.00;RORAIMA
1988;2,340.00;RONDÔNIA
1988;6,990.00;PARÁ
1988;5,140.00;MATO GROSSO
1988;2,450.00;MARANHÃO
1988;60.00;AMAPÁ
1988;1,510.00;AMAZONAS
1988;620.00;ACRE
