,gid,origin_id,pathrow,dsfnv,julday,ano,areakm_squared,scene_id,lat,day,uf_AC,uf_AM,uf_MA,mainclass_DESMATAMENTO,class_name_d2009,class_name_d2012,class_name_d2015,class_name_d2016,class_name_d2017,month_10,month_11,month_12,month_3,month_4,month_5,year_2010,year_2015,year_2016,states_Amapa,states_Mato Grosso,states_Para,states_Rondonia,states_Roraima,view_date_month_1,view_date_month_2,view_date_month_6,view_date_month_7,view_date_month_8,view_date_month_9,view_date_weekday_0,view_date_weekday_1,view_date_weekday_2,view_date_weekday_3,view_date_weekday_4,view_date_weekday_5,view_date_weekday_6,view_date_is_month_end_1,view_date_is_month_start_0,view_date_hour_0,publish_ye_month_1,publish_ye_weekday_3,publish_ye_weekday_4,publish_ye_weekday_5,publish_ye_weekday_6,publish_ye_is_month_end_0,publish_ye_is_month_start_1,lon,Label
88,106905,340511,23259,2007,98,2008,0.300806135,617,1.76062274,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,-60.63386917,-61.14751358
89,576984,1083246,22662,2016,208,2017,0.092677101,100625,-3.404405117,27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,-52.70967865,-53.26347912
90,637053,1229387,22761,2016,199,2017,0.001439143,100558,-2.177609921,18,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,-53.54099274,-53.65015205
91,424164,759921,22464,2015,253,2016,0.008855094,100010,-5.271617413,10,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,-50.25762558,-50.26506031
92,795422,4461,22660,2017,194,2018,0.009357174,101229,-0.665813923,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,-52.00366592,-51.99071697
93,668613,1260947,22762,2013,226,2015,2.66123E-05,2571,-2.962945223,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,-54.21458054,-54.53125095
94,519295,948475,22562,2008,294,2010,0.081987195,1191,-3.211812258,21,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,1,-51.87236786,-51.3904512
95,709799,1302133,22863,2010,222,2011,0.063709639,1264,-4.514856339,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,-55.75506592,-55.72737701
96,307047,610601,22263,2014,271,2016,0.056339089,100094,-4.055366516,28,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,-47.21606445,-46.92702869
97,225820,516266,665,2007,227,2008,0.090806238,722,-7.847726822,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,-73.40358734,-73.40182617
98,670795,1263129,22762,2013,226,2015,0.073146783,2571,-3.53438139,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,-53.93993378,-54.37555275
99,578330,1084597,22662,2016,208,2017,0.038890705,100625,-3.389587641,27,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,-53.24477386,-53.17608826
100,668637,1260971,22762,2013,226,2015,0.00717059,2571,-2.876561165,14,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,-54.61965561,-54.37852585
101,609653,1150127,22660,2000,232,2008,0.497374505,677,0.413489461,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,-51.40904999,-51.70354527
102,478346,844443,22463,2015,208,2016,0.041300494,100262,-4.047958851,26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,-50.72710037,-50.42870327
103,792133,1188,22560,2016,198,2018,0.01344218,101270,0.627992988,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,-50.76896286,-50.76444382
104,520802,951070,22562,2007,185,2011,0.089916855,1319,-3.209941387,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,-52.0703392,-51.82366901
105,529458,968177,22562,2015,199,2016,0.006586167,100242,-3.323111057,17,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,-51.20262909,-50.85987022
106,613604,1167877,22659,2010,224,2011,0.104999781,1461,0.810967326,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,-51.8481102,-51.70695557
107,571724,1073898,22662,2009,205,2010,0.082502134,1123,-2.229734421,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,1,-52.79693604,-52.11872459
108,735210,1327544,22867,2010,206,2011,0.321220756,1286,-10.03687954,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,-58.22114563,-58.05614658
109,30357,136141,366,2010,230,2011,0.081450403,1273,-8.441952705,18,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,-70.25841522,-69.70789566
110,422560,758317,22464,2007,234,2008,0.241401374,592,-5.165259838,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,-49.61491013,-49.68850021
111,318006,622898,22262,2008,222,2009,0.11093723,807,-2.342465162,10,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,1,-46.76797104,-46.6761475
112,249999,543977,22062,2009,227,2010,0.088954687,1148,-2.810250044,15,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,-44.02429199,-44.22319489
113,355040,679441,22361,2014,187,2017,0.001372734,100644,-2.158697128,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,-47.7876091,-48.02074257
114,241920,534487,466,2009,218,2010,0.075892605,1146,-9.47355938,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,1,-70.51937866,-71.64155792
115,60859,235949,23164,2011,221,2012,0.085705474,1828,-5.819433212,8,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,-61.5553627,-60.98784344
116,768359,1360693,22962,2014,240,2015,0.046038363,2544,-3.63266325,28,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,-57.03666687,-57.13974033
117,296394,599948,22261,2009,209,2010,0.107689396,1094,-1.890955091,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,1,-46.67723083,-46.47222961
118,303670,607224,22263,2007,220,2008,0.291561306,620,-4.854038715,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,-47.57279205,-46.82982594
119,489355,873887,22561,2014,244,2015,0.005091309,2620,-1.999701381,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,-50.69355392,-50.92711342
